Company Name,Sector,Country,Region,Indicator,KPI,KPI Value,Unit,Year
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,20549.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,10.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,13.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,15.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1934.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",3285.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",41.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",417775.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",55144.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",651.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",733.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",1110.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",12.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",0.95,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",2023.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",1.5,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",2026.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",1.75,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",2030.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",1.5,,2022
3m_corporation,Conglomerates,New york,North america,Executive,"Employer Identification No. 41-0417775 Principal executive offices: 3M Center, St. Paul,",2031.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,by any of the registrant's executive officers during the relevant recovery,240.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,by any of the registrant's executive officers during the relevant recovery,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Executive,by any of the registrant's executive officers during the relevant recovery,2.0,,2022
3m_corporation,Conglomerates,New york,North america,Employees,"global online employee learning platform, employees are able to access unique,",15.0,,2022
3m_corporation,Conglomerates,New york,North america,Employees,be available to regular part-time employees who work at least 20,20.0,hours,2022
3m_corporation,Conglomerates,New york,North america,Executive,"7 Information about our Executive Officers Following is a list, is a list of the executive officers of 3M, and their",7.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"final approval by the Company’s board of directors, the filing and",10.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"In November 2018, 3M’s Board of Directors replaced the Company’s",2018.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"In November 2018, 3M’s Board of Directors replaced the Company’s",2016.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",31.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",458.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",623.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",176.61,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",458.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",623.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",5.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",329.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",28.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",445.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",206.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",147.03,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",441.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",534.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",5.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",117.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",31.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",871.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",301.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",145.61,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",871.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",301.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",845.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",31.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",775.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",130.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",155.51,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",771.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",458.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",30.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",845.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",31.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",845.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",30.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",845.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",30.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",31.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",845.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",31.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",845.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",30.0,,2022
