Company,Sector,Country,Region,Indicator,KPI,Unit,2023,2022,2021,2020
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,4832,2728,2155,439
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,79871,127369,128724,141367
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,84703,128301,130879,141806
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Business travel,tCO2e,18,10,5,18
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Employee commuting,tCO2e,18,25,25,42
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Fuel- and energy-related activities,tCO2e,9129,15004,12731,13713
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Investments,tCO2e,15390,18227,24038,23591
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Purchased goods and services,tCO2e,507,770,749,815
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Waste generated in operations,tCO2e,5195,5814,6171,7977
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,30259,39848,43719,46156
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Out-of-scope emissions,tCO2e,130,192,359,20
Emira Property Fund,Real Estate,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,115092,168341,174958,187981
Emira Property Fund,Real Estate,South Africa,Africa,Energy,Electricity consumption,GJ,242084.2608,404893.224,428151.8556,460007.9424
Emira Property Fund,Real Estate,South Africa,Africa,Energy,Energy consumption - Renewable,GJ,29228.0976,35806.330799999996,30810.7224,23826.229199999998
Emira Property Fund,Real Estate,South Africa,Africa,Energy,Diesel consumption,GJ,50978.4084,9479.1996,6802.1064,4374.756
Emira Property Fund,Real Estate,South Africa,Africa,Water,Water consumption - Alternative source,kL,76198,75190,84943,43813
Emira Property Fund,Real Estate,South Africa,Africa,Water,Water consumption - Municipal,kL,434491,820928,775276,837261
Emira Property Fund,Real Estate,South Africa,Africa,Water,Water consumption,kL,510689,896118,860219,881074
Emira Property Fund,Real Estate,South Africa,Africa,Waste,Waste to landfill,Tonnes,3333,4501,,
Emira Property Fund,Real Estate,South Africa,Africa,Waste,Waste recycled,Tonnes,332,435,,
Emira Property Fund,Real Estate,South Africa,Africa,Waste,Waste recycled - Glass,Tonnes,38,51,,
Emira Property Fund,Real Estate,South Africa,Africa,Waste,Waste recycled - Scrap metal,Tonnes,4,12,,
Emira Property Fund,Real Estate,South Africa,Africa,Waste,Waste recycled - Paper,Tonnes,245,330,,
Emira Property Fund,Real Estate,South Africa,Africa,Waste,Waste recycled - Plastic,Tonnes,44,43,,
Emira Property Fund,Real Estate,South Africa,Africa,Waste,Waste recycled - Compost,Tonnes,70,,,
Emira Property Fund,Real Estate,South Africa,Africa,Waste,Total waste generated,Tonnes,3735,4936,,
enX Group,Industrials,South Africa,Africa,Energy,Electricity consumption,GJ,4783.7627999999995,5865.3108,9094.1796,15001.488
enX Group,Industrials,South Africa,Africa,Water,Water consumption,kL,3337,13108,5789.72,54.97
enX Group,Industrials,South Africa,Africa,Energy,Fuel consumption,kL,836.138,580.074,4797.2300000000005,4015.2870000000003
enX Group,Industrials,South Africa,Africa,Energy,Oils and Paraffin consumption,kL,242.28300000000002,110.455,220.59300000000002,272.305
EOH,Technology,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,1599.50,1184.00,1100,5000
EOH,Technology,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,3332.54,4499.00,5000,10000
EOH,Technology,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,1669.07,2410.00,3000,7000
EOH,Technology,South Africa,Africa,Emissions,Scope 1 emissions per employee,tCO2e/FTE,0.33,0.20,0.25,0.40
EOH,Technology,South Africa,Africa,Emissions,Scope 2 emissions per employee,tCO2e/FTE,0.69,0.75,0.75,0.80
EOH,Technology,South Africa,Africa,Emissions,Scope 3 emissions per employee,tCO2e/FTE,0.35,0.40,0.50,0.60
EOH,Technology,South Africa,Africa,Emissions,Scope 1 emissions - Mobile consumption (company-owned vehicles) - Diesel,tCO2e,237,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 1 emissions - Mobile consumption (company-owned vehicles) - Petrol,tCO2e,126,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 1 emissions - Stationary consumption - backup generators,tCO2e,788,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 1 emissions - Refrigerants and Air-conditioning,tCO2e,448,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 2 emissions - Purchased electricity,tCO2e,3333,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Water consumption - Municipal,tCO2e,3,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Air travel,tCO2e,1067,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Rental car travel distance,tCO2e,9,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Business travel,tCO2e,574,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Paper consumption,tCO2e,8,,,
EOH,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Waste disposal,tCO2e,8,,,
EOH,Technology,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,6601,8093,9100,22000
Equities Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,3.8,1.4,,
Equities Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,118,98,,
Equities Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Capital goods,tCO2e,44625,57226,,
Equities Property Fund,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Downstream leased assets,tCO2e,112613,111097,,
Eskom,Utilities,South Africa,Africa,Water,Water intensity,l/kWh,1.39,1.45,1.42,1.42
Eskom,Utilities,South Africa,Africa,Water,Water consumption,Ml,256430,283610,270736,286553
Eskom,Utilities,South Africa,Africa,Emissions,CO2 emissions,Tonnes,187.5,207.2,206.8,213.2
Eskom,Utilities,South Africa,Africa,Emissions,SOx,Tonnes,1449000,1671000,1604000,1721000
Eskom,Utilities,South Africa,Africa,Emissions,NOx,Tonnes,1438,1561,1527,2826
Eskom,Utilities,South Africa,Africa,Emissions,Methane emissions,Tonnes,1483,1466,1442,
Eskom,Utilities,South Africa,Africa,Emissions,Particulate matter (PM),Tonnes,129320,6665,71350,94920
Eskom,Utilities,South Africa,Africa,Emissions,Stationary combustion emissions,tCO2e,,193157386,207230321,201260329
Eskom,Utilities,South Africa,Africa,Emissions,Fleet emissions,tCO2e,,71623,78138,37810
Eskom,Utilities,South Africa,Africa,Emissions,Fugitive emissions,tCO2e,,65712,52841,73904
Eskom,Utilities,South Africa,Africa,Emissions,Waste disposed,tCO2e,,81972,3366,3820
Eskom,Utilities,South Africa,Africa,Emissions,Non-combustion product use,tCO2e,,9689,3,12
Eskom,Utilities,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,,193386382,207364669,201372875
Eskom,Utilities,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,,85171,,
Eskom,Utilities,South Africa,Africa,Emissions,Scope 3 emissions - Purchased electricity,tCO2e,,494263,,
Eskom,Utilities,South Africa,Africa,Emissions,Scope 3 emissions - Delivery to site - Road,tCO2e,,264993,252743,238338
Eskom,Utilities,South Africa,Africa,Emissions,Scope 3 emissions - Delivery to site - Rail,tCO2e,,4635759,,
Eskom,Utilities,South Africa,Africa,Emissions,Scope 3 emissions - Waste disposal,tCO2e,,35,,
Eskom,Utilities,South Africa,Africa,Emissions,Scope 3 emissions - Business travel,tCO2e,,12846,8156,9902
Eskom,Utilities,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,,5407896,260899,201624115
Exemplar,Real Estate,South Africa,Africa,Energy,Energy generated from solar PV systems,GJ,73728.0,46512.0,13680.0,
Exemplar,Real Estate,South Africa,Africa,Energy,Coal usage reduction,Tonnes,10980,6730,5100,
Exemplar,Real Estate,South Africa,Africa,Water,Water usage reduction,kL,29700.0,18350.0,14340.0,
Exemplar,Real Estate,South Africa,Africa,Emissions,Carbon emissions reduction,Tonnes,20640,13440,10020,
Exemplar,Real Estate,South Africa,Africa,Waste,Waste recycled,Tonnes,1113,1156,,
Exemplar,Real Estate,South Africa,Africa,Waste,Waste to landfill,Tonnes,1430,2423,,
Exxaro,Energy,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,333372,333000,345000,385000
Exxaro,Energy,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,637284,637000,650000,650000
Exxaro,Energy,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,970656,971000,995000,1035000
Exxaro,Energy,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,68156000,74488000,70391000,69220000
Exxaro,Energy,South Africa,Africa,Energy,Carbon intensity,tCO2e/kTTM,4.4,5.54,5.51,4.9
Exxaro,Energy,South Africa,Africa,Energy,Electricity consumption,GJ,2127351.6,2124280.8000000003,2095437.6,2263802.4
Exxaro,Energy,South Africa,Africa,Energy,Electricity intensity,MWh/kt,3.11,3.37,3.24,2.95
Exxaro,Energy,South Africa,Africa,Energy,Diesel consumption,kL,83629,83226,91838,96143
Exxaro,Energy,South Africa,Africa,Energy,Diesel intensity,MWh/kt,4.39,4.88,5.25,4.64
Exxaro,Energy,South Africa,Africa,Energy,Energy consumption,GJ,5219390,5211418,5139996,5556824
Exxaro,Energy,South Africa,Africa,Water,Water withdrawn,kL,8744000.0,11486000.0,10890000.0,11798000.0
Exxaro,Energy,South Africa,Africa,Water,Water discharged,kL,1067000.0,1068000.0,609000.0,874000.0
Exxaro,Energy,South Africa,Africa,Water,Water consumption,kL,7430000,10418765,10280828,10923823
Exxaro,Energy,South Africa,Africa,Water,Water intensity,L/tonne,105,150,149,137
Exxaro,Energy,South Africa,Africa,Waste,Waste to landfill,Tonnes,3186.0,1624.0,520.0,1511.0
Exxaro,Energy,South Africa,Africa,Waste,Waste recycled,Tonnes,2703.0,2768.0,3018.0,2914.0
Exxaro,Energy,South Africa,Africa,Land and biodiversity,Land rehabilitated,ha,2132,2000,1933,1981
Exxaro,Energy,South Africa,Africa,Land and biodiversity,Land disturbed,ha,11028,9624,9280,9984
Fairvest,Real Estate,South Africa,Africa,Energy,Solar capacity,GJ,59.04,53.64,33.480000000000004,31.680000000000003
Fairvest,Real Estate,South Africa,Africa,Energy,Clean energy produced,Rmillion,31.8,28.3,,
Fairvest,Real Estate,South Africa,Africa,Environment,Environmental efficiency investments,Rmillion,26.2,20.2,,1.5
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 1 emissions - Stationary fuels,tCO2e,,,87,
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 1 emissions - Fugitive emissions (Kyoto gases),tCO2e,,,192,
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 2 emissions - Purchased electricity,tCO2e,,,10446,
Fairvest,Real Estate,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,,,10725,
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Purchased goods and services,tCO2e,,,582,
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Water supply,tCO2e,,,1762,
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Business travel,tCO2e,,,0,
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Employee commuting,tCO2e,,,0,
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Downstream leased assets - tenant electricity use,tCO2e,,,120699,
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Downstream leased assets - tenant fuel use,tCO2e,,,1.3,
Fairvest,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,,,123044,
Fairvest,Real Estate,South Africa,Africa,Emissions,Fugitive emissions,tCO2e,,,98,
Fairvest,Real Estate,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,,,133868,
Famous Brands,Consumer Cyclical,South Africa,Africa,Waste,Waste recycled - Cardboard and Paper,Tonnes,728,444,,
Famous Brands,Consumer Cyclical,South Africa,Africa,Waste,Waste recycled - Plastic,Tonnes,113,99,,
Famous Brands,Consumer Cyclical,South Africa,Africa,Waste,Waste recycled - Metal,Tonnes,55,68,,
Famous Brands,Consumer Cyclical,South Africa,Africa,Waste,Waste recycled,Tonnes,903,611,,
Famous Brands,Consumer Cyclical,South Africa,Africa,Waste,Waste to landfill,Tonnes,1719,1556,,
Famous Brands,Consumer Cyclical,South Africa,Africa,Waste,Waste generated,Tonnes,1556.52,,,
Famous Brands,Consumer Cyclical,South Africa,Africa,Water,Water consumption,kL,381849,363906,287201,
Famous Brands,Consumer Cyclical,South Africa,Africa,Energy,Electricity consumption,GJ,100364.40000000001,105483.6,91317.6,
Famous Brands,Consumer Cyclical,South Africa,Africa,Energy,Energy generated from solar PV systems,GJ,2566.8,2340.0,1972.8,
Famous Brands,Consumer Cyclical,South Africa,Africa,Energy,Diesel consumption,kL,6481.0,2010.0,1461.0,
Famous Brands,Consumer Cyclical,South Africa,Africa,Energy,Petrol consumption,kL,645.0,635.0,452.0,
Famous Brands,Consumer Cyclical,South Africa,Africa,Energy,Paraffin consumption,kL,73.0,67.0,54.0,
Famous Brands,Consumer Cyclical,South Africa,Africa,Energy,Liquefied petroleum gas,Tonnes,0.039,0.037,0.032,
Famous Brands,Consumer Cyclical,South Africa,Africa,Energy,Natural gas consumption,GJ,31627,34886,29257,
Famous Brands,Consumer Cyclical,South Africa,Africa,Energy,Energy consumption,kL,2610.3,2519.462,1853.511,2733.4
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Direct emissions,tCO2e,18910,17054,14961,
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Indirect emissions,tCO2e,33234,34106,25970,
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Scope 1 emissions - Mobile fuel combustion,tCO2e,7408.48,7600,5531,8037
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Scope 1 emissions - Stationary fuel combustion,tCO2e,11501.84,9454,6935,13651
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,18910.31,17054,12466,21688
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Scope 2 emissions - Purchased electricity,tCO2e,31715.50,34107,25970,31963
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,31715.50,34107,25970,31963
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,50625.82,51161,38436,53651
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Scope 3 emissions - Purchased goods and services,tCO2e,1518.64,1441,988,604
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,1518.64,1441,988,604
Famous Brands,Consumer Cyclical,South Africa,Africa,Waste,Composted organic waste material,Tonnes,211.0,,,
Famous Brands,Consumer Cyclical,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,52145,52602,41918,54255
FirstRand,Financial Services,South Africa,Africa,Emissions,Total carbon emissions,Tonnes,,163409,166964,
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,1705,566,416,785
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 1 emissions - Diesel (generators),tCO2e,1498,243,99,77
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 1 emissions - Refrigerant gases,tCO2e,207,323,317,706
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,7681,8230,8718,9763
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 2 emissions - Purchased electricity,tCO2e,7681,8230,8718,9763
Fortress,Real Estate,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,9386,8796,9134,10548
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,212608,240423,246437,288144
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Water supply,tCO2e,1326,1308,1375,1568
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Water treatment,tCO2e,1015,1002,1063,1200
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Water,tCO2e,2341,2310,2428,2768
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Employee commuting,tCO2e,85,75,80,110
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Air travel,tCO2e,138,312,95,122
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions - Electricity tenants,tCO2e,210043,237726,243834,285144
Fortress,Real Estate,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,221994,249219,255571,298692
Fortress,Real Estate,South Africa,Africa,Emissions,Fugitive emissions,tCO2e,217,556,1017,492
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 1 emissions intensity,tCO2e/m2,0.0006,0.0002,0.0001,0.0003
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 2 emissions intensity,tCO2e/m2,0.0027,0.0028,0.0030,0.0035
Fortress,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions intensity,tCO2e/m2,0.0738,0.0823,0.0854,0.1032
Fortress,Real Estate,South Africa,Africa,Emissions,Carbon intensity,tCO2e/m2,0.0770,0.0853,0.0886,0.1070
Fortress,Real Estate,South Africa,Africa,Energy,Electricity consumption,GJ,796748.9256,874106.4312,911730.7692,1032612.8903999999
Fortress,Real Estate,South Africa,Africa,Energy,Electricity intensity,KWh/m2,76.81,83.13,87.76,102.73
Fortress,Real Estate,South Africa,Africa,Energy,Solar PV installations,MWac,10233,7248,4735,2805
Fortress,Real Estate,South Africa,Africa,Energy,Renewable energy generated,GJ,43092.0,38782.8,20372.4,11779.2
Fortress,Real Estate,South Africa,Africa,Energy,Emissions savings,tCO2e,12448,11419,5772,3403
Fortress,Real Estate,South Africa,Africa,Water,Water consumption,kL,1434506,1414563,1486996,1695250
Fortress,Real Estate,South Africa,Africa,Water,Water intensity,kL/m2,0.0005,0.00048,0.0005200000000000001,0.00061
Fortress,Real Estate,South Africa,Africa,Waste,Waste generated,kL,18242,25119,28350,38230
Fortress,Real Estate,South Africa,Africa,Waste,Waste recycled,kL,10856,16617,18144,22952
Frontier Transport Holdings,Industrials,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,80237,79045,58407,79816
Frontier Transport Holdings,Industrials,South Africa,Africa,Emissions,Diesel consumption,kL,24247.603,24864.958,,
Frontier Transport Holdings,Industrials,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,1928,1739,2337,3184
Frontier Transport Holdings,Industrials,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,13190,9555,8333,10547
Frontier Transport Holdings,Industrials,South Africa,Africa,Water,Water withdrawn,kL,28290.0,17000.0,15000.0,14040.0
Frontier Transport Holdings,Industrials,South Africa,Africa,Water,Water discharged,kL,6450.0,3000.0,2000.0,3750.0
Frontier Transport Holdings,Industrials,South Africa,Africa,Water,Water consumption,kL,2570.0,2000.0,2000.0,0.0
Gemfields,Basic Materials,South Africa,Africa,Land and biodiversity,Land rehabilitated,ha,2.7,,5.7,5.3
Gemfields,Basic Materials,South Africa,Africa,Environment,Trees planted,Number,10000,10000,8436,530
Gemfields,Basic Materials,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,47292,43502,32835,12831
Gemfields,Basic Materials,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,7434,7083,6382,4130
Gemfields,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,2315,584,,
Gemfields,Basic Materials,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,57764,51169,39217,16963
Gemfields,Basic Materials,South Africa,Africa,Emissions,Carbon intensity,tCO2e/ct,0.003,0.002,0.003,0.004
Gemfields,Basic Materials,South Africa,Africa,Energy,Solar energy consumption,GJ,233.5032,162.882,162.882,
Gemfields,Basic Materials,South Africa,Africa,Energy,Total power consumed through ZESCO and EDM,GJ,26790.3504,25392.51,25392.51,
Gemfields,Basic Materials,South Africa,Africa,Energy,Total power consumed through diesel generators,GJ,10984.428,10166.5764,10166.5764,
Gemfields,Basic Materials,South Africa,Africa,Energy,Energy consumption,GJ,38135.001599999996,35664.3684,35664.3684,
Gemfields,Basic Materials,South Africa,Africa,Water,Water consumption - Kagem (Surface water),kL,53800.0,46600.0,41500.0,
Gemfields,Basic Materials,South Africa,Africa,Water,Water consumption - MRM (Groundwater),kL,459400.0,558600.0,574900.0,
Gemfields,Basic Materials,South Africa,Africa,Water,Water consumption,kL,513200.00000000006,605200.0,616400.0,273000.0
Gemfields,Basic Materials,South Africa,Africa,Water,Water intensity - Kagem,kL,4.0,4.0,4.0,
Gemfields,Basic Materials,South Africa,Africa,Water,Water intensity - MRM,kL,58,80,101,
Gemfields,Basic Materials,South Africa,Africa,Water,Water intensity,kL,23,30,41,
Gemfields,Basic Materials,South Africa,Africa,Energy,Energy consumption,GJ,671194.8,602964.0,455997.60000000003,602964.0
Gemfields,Basic Materials,South Africa,Africa,Waste,Waste generated,Tonnes,,,185,63
Glencore,Basic Materials,South Africa,Africa,Water,Water input,kL,959428000.0,1092120000.0,1002795000.0,1045359000.0
Glencore,Basic Materials,South Africa,Africa,Water,Water withdrawn,kL,949715000.0,1080053000.0,1002795000.0,1045359000.0
Glencore,Basic Materials,South Africa,Africa,Water,Water discharged,kL,558241000.0,637048000.0,621447000.0,669252000.0
Glencore,Basic Materials,South Africa,Africa,Water,Water consumption,kL,486098000.0,479014000.0,367512000.0,380078000.0
Glencore,Basic Materials,South Africa,Africa,Water,Water recycled,kL,501073000.0,496773000.0,497700000.0,520770000.0
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,16717000,16388000,15974000,15172000
Glencore,Basic Materials,South Africa,Africa,Emissions,Biogenic carbon emissions,tCO2e,42000,41000,41000,11000
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 2 emissions - Market based,tCO2e,10331000,12841000,12975000,11598000
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 2 emissions - Location based,tCO2e,9663000,11841000,11901000,10389000
Glencore,Basic Materials,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,26380000,28228000,27875000,25562000
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,405760000,368261000,412898000,414021000
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions - Purchased goods & services,tCO2e,16544000,14652000,14095000,12423000
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions - Fuel- and energy-related activities,tCO2e,4526000,4693000,4611000,4238000
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions - Upstream transportation & distribution,tCO2e,5386000,4957000,5087000,4967000
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions - Processing of sold products,tCO2e,17464000,16426000,20206000,19132000
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions - Use of sold products,tCO2e,324405000,293403000,330988000,334033000
Glencore,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions - Investments,tCO2e,32982000,29886000,32786000,34959000
Glencore,Basic Materials,South Africa,Africa,Emissions,Carbon intensity (Metals mining),tCO2e/t Cu,4.9,5.0,4.5,4.5
Glencore,Basic Materials,South Africa,Africa,Emissions,Carbon intensity (Metals smelting),tCO2e/t Cu,6.4,7.9,7.5,6.2
Glencore,Basic Materials,South Africa,Africa,Emissions,Carbon intensity (Coal mining),tCO2e/t Cu,4.7,4.8,4.8,5.2
Glencore,Basic Materials,South Africa,Africa,Emissions,Carbon intensity (Astron energy),tCO2e/billion Btu,6.5,0.0,0.0,8.2
Global Trade Centre SA,Real Estate,South Africa,Africa,Energy,Electricity consumption,GJ,,474717.60000000003,196812.0,202118.4
Global Trade Centre SA,Real Estate,South Africa,Africa,Energy,Fuel consumption,GJ,,44607.6,107640.0,87624.0
Global Trade Centre SA,Real Estate,South Africa,Africa,Energy,Energy consumption,GJ,,705765.6,789444.0,695365.2000000001
Global Trade Centre SA,Real Estate,South Africa,Africa,Energy,Energy intensity,GJ/m2,,0.9,0.9252,0.9324
Global Trade Centre SA,Real Estate,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,,68663,112546,108069
Global Trade Centre SA,Real Estate,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,,4519,6929,20504
Global Trade Centre SA,Real Estate,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,,14458,105614,85771
Global Trade Centre SA,Real Estate,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,,18977,112546,108069
Global Trade Centre SA,Real Estate,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,,49686,78239,
Global Trade Centre SA,Real Estate,South Africa,Africa,Emissions,Carbon intensity,kgCO2e/m2,,0.087,0.130,0.143
Global Trade Centre SA,Real Estate,South Africa,Africa,Water,Water consumption,kL,,327383,305901,325288
Global Trade Centre SA,Real Estate,South Africa,Africa,Water,Water intensity,kl/m2,,0.42,0.35,0.44
Global Trade Centre SA,Real Estate,South Africa,Africa,Waste,Waste generated,Tonnes,,7807,10935,10164
Global Trade Centre SA,Real Estate,South Africa,Africa,Waste,Waste generated - Hazardous,Tonnes,,55,125,115
Global Trade Centre SA,Real Estate,South Africa,Africa,Waste,Waste generated - Non-hazardous,Tonnes,,7752,10810,10049
Gold Fields,Basic Materials,South Africa,Africa,Water,Water withdrawn,GL,18.3,18.3,18.5,21.7
Gold Fields,Basic Materials,South Africa,Africa,Water,Water withdrawn per tonne processed,Litres/t,406,420,420,460
Gold Fields,Basic Materials,South Africa,Africa,Water,Water consumption,GL,13.8,13.5,13.9,15.0
Gold Fields,Basic Materials,South Africa,Africa,Water,Water withdrawn - Freshwater,GL,8.8,8.5,9.4,10.0
Gold Fields,Basic Materials,South Africa,Africa,Environment,Environmental incidents,Number,8,10,7,12
Gold Fields,Basic Materials,South Africa,Africa,Energy,Energy intensity,GJ/oz,5.66,5.49,5.64,5.67
Gold Fields,Basic Materials,South Africa,Africa,Energy,Diesel consumption,GJ,6700.0,7000.0,7100.0,6700.0
Gold Fields,Basic Materials,South Africa,Africa,Energy,Electricity consumption,GJ,7000.0,6900.0,6700.0,6300.0
Gold Fields,Basic Materials,South Africa,Africa,Energy,Fuel consumption,GJ,300.0,200.0,100.0,100.0
Gold Fields,Basic Materials,South Africa,Africa,Energy,Energy consumption,GJ,14000.0,14100.0,14000.0,13100.0
Gold Fields,Basic Materials,South Africa,Africa,Emissions,Scope 1 emissions,Mt,,790000,790000,720000
Gold Fields,Basic Materials,South Africa,Africa,Emissions,Scope 2 emissions,Mt,,930000,930000,890000
Gold Fields,Basic Materials,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,1632000,1716000,1714000,1606000
Gold Fields,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions,Mt,,560000,540000,520000
Gold Fields,Basic Materials,South Africa,Africa,Emissions,Total carbon emissions,Mt,,2280000,2260000,2130000
Gold Fields,Basic Materials,South Africa,Africa,Emissions,Carbon intensity,tCO2e/oz,0.660,0.669,0.700,0.660
Gold Fields,Basic Materials,South Africa,Africa,Waste,Waste generated,Tonnes,175,205,213,200
Grindrod Limited,Industrials,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,23658,22611,19357,26637
Grindrod Limited,Industrials,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,13991,9958,11409,10263
